Region,State,Year,Population,Total Rate,Violent Rate,Property Rate,Murder Rate,Rape Rate,Robbery Rate,Agg-Aslt Rate,Burglary Rate,Larceny Rate,MVTheft Rate,Murder,Rape,Robbery,Agg-Aslt,Burglary,Larceny,MVTheft,Total,Violent,Property,Latitude,Longitude
Mountain,Colorado,1998,3971000,0.044874590783178,0.003779400654747,0.041095190128431,0.000046084109796,0.000474187861999,0.000815411735079,0.002443716947872,0.007864769579451,0.029179299924452,0.004051120624528,183,1883,3238,9704,31231,115871,16087,178197,15008,163189,39.0646,-105.3272
Mountain,Colorado,1999,4056000,0.040634368836292,0.003405078895464,0.037229289940828,0.000045611439842,0.000413954635108,0.000753451676529,0.002192061143984,0.006651627218935,0.026929980276134,0.003647682445759,185,1679,3056,8891,26979,109228,14795,164813,13811,151002,39.0646,-105.3272
Mountain,Colorado,2000,4301261,0.039826460193883,0.003340183262536,0.036486276931346,0.000031153654707,0.000412437189931,0.000705374540164,0.002191217877734,0.006308150098308,0.026234864612959,0.003943262220079,134,1774,3034,9425,27133,112843,16961,171304,14367,156937,39.0646,-105.3272
Mountain,Colorado,2001,4430989,0.042062618526022,0.003496284915174,0.038566333610849,0.000035657953563,0.000435568673269,0.000802303955167,0.002222754333175,0.006439420183620,0.027388919268362,0.004737994158866,158,1930,3555,9849,28533,121360,20994,186379,15492,170887,39.0646,-105.3272
Mountain,Colorado,2002,4501051,0.043531166387584,0.003528509230400,0.040002657157184,0.000039768489626,0.000459003908198,0.000795147622189,0.002234589210387,0.007037911812152,0.027814170512620,0.005150574832411,179,2066,3579,10058,31678,125193,23183,195936,15882,180054,39.0646,-105.3272
Mountain,Colorado,2003,4547633,0.042981260800949,0.003464879421888,0.039516381379060,0.000040680503462,0.000420658395257,0.000821966064544,0.002181574458625,0.007123266103487,0.027375999778346,0.005017115497227,185,1913,3738,9921,32394,124496,22816,195463,15757,179706,39.0646,-105.3272
Mountain,Colorado,2004,4601821,0.042905406359787,0.003720483695476,0.039184922664311,0.000043678361240,0.000422658769213,0.000812504441177,0.002441642123846,0.007173247286237,0.026795479441725,0.005216195936348,201,1945,3739,11236,33010,123308,24004,197443,17121,180322,39.0646,-105.3272
Mountain,Colorado,2005,4663295,0.044377848709979,0.003966723100297,0.040411125609682,0.000037098232044,0.000434456752146,0.000846611676937,0.002648556439170,0.007450954743374,0.027363055521900,0.005597115344408,173,2026,3948,12351,34746,127602,26101,206947,18498,188449,39.0646,-105.3272
Mountain,Colorado,2006,4753377,0.038366618090675,0.003948140448359,0.034418477642316,0.000035974424078,0.000454203401077,0.000803639181155,0.002654323442050,0.006819993448868,0.023250838298751,0.004347645894698,171,2159,3820,12617,32418,110520,20666,182371,18767,163604,39.0646,-105.3272
Mountain,Colorado,2007,4861515,0.033419006215141,0.003505697298064,0.029913308917076,0.000031883065258,0.000425998891292,0.000711917992642,0.002335897348872,0.005885408149517,0.020611064657828,0.003416836109731,155,2071,3461,11356,28612,100201,16611,162467,17043,145424,39.0646,-105.3272
Mountain,Colorado,2008,4935213,0.032062648562484,0.003470772183490,0.028591876378993,0.000031609577945,0.000424297796265,0.000682645308318,0.002332219500962,0.005718496851098,0.020154753199102,0.002718626328793,156,2094,3369,11510,28222,99468,13417,158236,17129,141107,39.0646,-105.3272
Mountain,Colorado,2009,5024748,0.030094643552274,0.003387632573813,0.026707010978461,0.000031643377937,0.000451564934202,0.000670879415246,0.002233544846428,0.005301161371675,0.018922142961199,0.002483706645587,159,2269,3371,11223,26637,95079,12480,151218,17022,134196,39.0646,-105.3272
Mountain,Colorado,2010,5029196,0.030049534756649,0.003207868613592,0.026841666143058,0.000023860672760,0.000437047989380,0.000622763559026,0.002124196392425,0.005200234789020,0.019405089799642,0.002236341554396,120,2198,3132,10683,26153,97592,11247,151125,16133,134992,39.0646,-105.3272
New England,Connecticut,1973,3076000,0.036644018205462,0.002087451235371,0.034556566970091,0.000033159947984,0.000111183355007,0.000841677503251,0.001101430429129,0.010292912873862,0.019096879063719,0.005166775032510,102,342,2589,3388,31661,58742,15893,112717,6421,106296,41.5834,-72.7622
New England,Connecticut,1974,3088000,0.044069624352332,0.002281411917098,0.041788212435233,0.000032707253886,0.000111722797927,0.000922927461140,0.001214054404145,0.013538860103627,0.022750000000000,0.005499352331606,101,345,2850,3749,41808,70252,16982,136087,7045,129042,41.5834,-72.7622
New England,Connecticut,1975,3095000,0.049549596122779,0.002684329563813,0.046865266558966,0.000038772213247,0.000124394184168,0.001314701130856,0.001206462035541,0.015126009693053,0.026015508885299,0.005723747980614,120,385,4069,3734,46815,80518,17715,153356,8308,145048,41.5834,-72.7622
New England,Connecticut,1976,3117000,0.050045877446262,0.002732114212384,0.047313763233879,0.000031119666346,0.000143727943535,0.001229066410010,0.001328200192493,0.013838626884825,0.027857555341675,0.005617581007379,97,448,3831,4140,43135,86832,17510,155993,8516,147477,41.5834,-72.7622
New England,Connecticut,1977,3108000,0.048421171171171,0.002823037323037,0.045598133848134,0.000042471042471,0.000167631917632,0.001295366795367,0.001317567567568,0.013459781209781,0.026206563706564,0.005931788931789,132,521,4026,4095,41833,81450,18436,150493,8774,141719,41.5834,-72.7622
New England,Connecticut,1978,3099000,0.049294933849629,0.003150048402711,0.046144885446918,0.000041626331075,0.000171990964827,0.001548241368183,0.001388189738625,0.013619554695063,0.025976121329461,0.006549209422394,129,533,4798,4302,42207,80500,20296,152765,9762,143003,41.5834,-72.7622
New England,Connecticut,1979,3115000,0.057795505617978,0.004141894060995,0.053653611556982,0.000042054574639,0.000241412520064,0.001932905296950,0.001925521669342,0.015482825040128,0.031138683788122,0.007032102728732,131,752,6021,5998,48229,96997,21905,180033,12902,167131,41.5834,-72.7622
New England,Connecticut,1980,3095224,0.058816744765484,0.004125064938757,0.054691679826727,0.000047169445572,0.000216462524199,0.002180456083308,0.001680976885679,0.017006200520544,0.030896309927811,0.006789169378371,146,670,6749,5203,52638,95631,21014,182051,12768,169283,41.5834,-72.7622
New England,Connecticut,1981,3132000,0.058372605363985,0.004480523627075,0.053892081736909,0.000053639846743,0.000219348659004,0.002461366538953,0.001746168582375,0.016918901660281,0.030947318007663,0.006025862068966,168,687,7709,5469,52990,96927,18873,182823,14033,168790,41.5834,-72.7622
New England,Connecticut,1982,3153000,0.054274976213130,0.003995242626070,0.050279733587060,0.000052013954964,0.000219473517285,0.002084998414209,0.001638756739613,0.014107516650809,0.030650174437044,0.005522042499207,164,692,6574,5167,44481,96640,17411,171129,12597,158532,41.5834,-72.7622
New England,Connecticut,1983,3138000,0.049778202676864,0.003749840662843,0.046028362014022,0.000041108986616,0.000199808795411,0.002006373486297,0.001502549394519,0.012743148502231,0.028496175908222,0.004789037603569,129,627,6296,4715,39988,89421,15028,156204,11767,144437,41.5834,-72.7622
New England,Connecticut,1984,3154000,0.046280279010780,0.003938490805327,0.042341788205453,0.000038681039949,0.000240646797717,0.001905199746354,0.001753963221306,0.011289473684211,0.026824032974001,0.004228281547242,122,759,6009,5532,35607,84603,13336,145968,12422,133546,41.5834,-72.7622
New England,Connecticut,1985,3174000,0.047047889098929,0.004019533711405,0.043028355387524,0.000037807183365,0.000240390674228,0.001900441083806,0.001840894770006,0.011355072463768,0.027260239445495,0.004413043478261,120,763,6032,5843,36041,86524,14007,149330,12758,136572,41.5834,-72.7622
New England,Connecticut,1986,3189000,0.048287550956413,0.004257761053622,0.044029789902791,0.000046409532769,0.000238319222327,0.001921919096896,0.002051113201631,0.011975540921919,0.027583254938852,0.004470994042019,148,760,6129,6541,38190,87963,14258,153989,13578,140411,41.5834,-72.7622
New England,Connecticut,1987,3211000,0.049957334163812,0.004190283400810,0.045767050763002,0.000048582995951,0.000249143568982,0.001781376518219,0.002111180317658,0.012183120523202,0.028293989411398,0.005289940828402,156,800,5720,6779,39120,90852,16986,160413,13455,146958,41.5834,-72.7622
New England,Connecticut,1988,3241000,0.050976241900648,0.004553841406973,0.046422400493675,0.000053687133601,0.000261956186362,0.001875964208578,0.002362233878433,0.012180499845727,0.028102128972539,0.006139771675409,174,849,6080,7656,39477,91079,19899,165214,14759,150455,41.5834,-72.7622
New England,Connecticut,1989,3239000,0.052699907378821,0.005117628897808,0.047582278481013,0.000058660080272,0.000275393640012,0.002147576412473,0.002635998765051,0.012360296387774,0.028244211176289,0.006977770916950,190,892,6956,8538,40035,91483,22601,170695,16576,154119,41.5834,-72.7622
New England,Connecticut,1990,3287116,0.053867280619242,0.005537072619281,0.048330207999961,0.000050500195308,0.000279272164414,0.002347650645733,0.002859649613826,0.012276719166589,0.028744041889608,0.007309446943765,166,918,7717,9400,40355,94485,24027,177068,18201,158867,41.5834,-72.7622
New England,Connecticut,1991,3291000,0.053640534791857,0.005396839866302,0.048243694925555,0.000056821634761,0.000291704649043,0.002243694925555,0.002804618656943,0.011910665451231,0.028375569735643,0.007957459738681,187,960,7384,9230,39198,93384,26188,176531,17761,158770,41.5834,-72.7622
New England,Connecticut,1992,3281000,0.050529411764706,0.004953367875648,0.045576043889058,0.000050594330997,0.000269430051813,0.002108503505029,0.002524839987809,0.011085644620543,0.027266991770802,0.007223407497714,166,884,6918,8284,36372,89463,23700,165787,16252,149535,41.5834,-72.7622
New England,Connecticut,1993,3277000,0.046503509307293,0.004561794324077,0.041941714983216,0.000062862374123,0.000244125724748,0.001967348184315,0.002287458040891,0.009780897162038,0.026205675923100,0.005955141898078,206,800,6447,7496,32052,85876,19515,152392,14949,137443,41.5834,-72.7622
New England,Connecticut,1994,3275000,0.045479694656489,0.004554503816794,0.040925190839695,0.000065648854962,0.000246106870229,0.001877862595420,0.002364885496183,0.008898320610687,0.025869007633588,0.006157862595420,215,806,6150,7745,29142,84721,20167,148946,14916,134030,41.5834,-72.7622
New England,Connecticut,1995,3275000,0.045032366412214,0.004058931297710,0.040973435114504,0.000045801526718,0.000236946564885,0.001632061068702,0.002144122137405,0.008883969465649,0.026687328244275,0.005402137404580,150,776,5345,7022,29095,87401,17692,147481,13293,134188,41.5834,-72.7622
New England,Connecticut,1996,3274000,0.042276725717776,0.004120342089188,0.038156383628589,0.000048259010385,0.000230604764814,0.001695784972511,0.002145693341478,0.008422113622480,0.024840562003665,0.004893708002443,158,755,5552,7025,27574,81328,16022,138414,13490,124924,41.5834,-72.7622
New England,Connecticut,1997,3270000,0.039842813455658,0.003908562691132,0.035934250764526,0.000037920489297,0.000226299694190,0.001528746177370,0.002115596330275,0.007383180428135,0.024104281345566,0.004446788990826,124,740,4999,6918,24143,78821,14541,130286,12781,117505,41.5834,-72.7622
New England,Connecticut,1998,3274000,0.037865302382407,0.003663103237630,0.034202199144777,0.000041233964569,0.000222357971900,0.001337507635919,0.002062003665241,0.006658827122786,0.023662797800855,0.003880574221136,135,728,4379,6751,21801,77472,12705,123971,11993,111978,41.5834,-72.7622
New England,Connecticut,1999,3282000,0.033892748324193,0.003455819622182,0.030436928702011,0.000032602071907,0.000199268738574,0.001235222425350,0.001988726386350,0.005879951249238,0.021114868982328,0.003442108470445,107,654,4054,6527,19298,69299,11297,111236,11342,99894,41.5834,-72.7622
New England,Connecticut,2000,3405565,0.032326794526018,0.003247038303483,0.029079756222536,0.000028776429168,0.000199085907918,0.001125217107881,0.001893958858515,0.005119855295670,0.020113549440401,0.003846351486464,98,678,3832,6450,17436,68498,13099,110091,11058,99033,41.5834,-72.7622
New England,Connecticut,2001,3434602,0.031092685557162,0.003345948089473,0.027746737467689,0.000030571227758,0.000186047757499,0.001217899482968,0.001911429621249,0.004995920924753,0.019146905522095,0.003603911020840,105,639,4183,6565,17159,65762,12378,106791,11492,95299,41.5834,-72.7622
New England,Connecticut,2002,3458587,0.030137452086647,0.003124686468780,0.027012765617867,0.000024287375162,0.000213960209762,0.001176492018272,0.001709946865584,0.004947396147618,0.018717181322893,0.003348188147356,84,740,4069,5914,17111,64735,11580,104233,10807,93426,41.5834,-72.7622
New England,Connecticut,2003,3486960,0.029832863009613,0.003167515543625,0.026665347465988,0.000032119668709,0.000200174363916,0.001207928969647,0.001727292541354,0.004600855759745,0.018803771766811,0.003260719939431,112,698,4212,6023,16043,65568,11370,104026,11045,92981,41.5834,-72.7622
New England,Connecticut,2004,3498966,0.029738785686972,0.002890282443442,0.026848503243530,0.000028579871882,0.000215778032710,0.001196925034424,0.001448999504425,0.004561061753672,0.019082780455712,0.003204661034146,100,755,4188,5070,15959,66770,11213,104055,10113,93942,41.5834,-72.7622
New England,Connecticut,2005,3500701,0.028512003738680,0.002725739787545,0.025786263951134,0.000029993992632,0.000203387835751,0.001123489266864,0.001368868692299,0.004354842073059,0.018400885993977,0.003030535884099,105,712,3933,4792,15245,64416,10609,99812,9542,90270,41.5834,-72.7622
New England,Connecticut,2006,3504809,0.028735945382473,0.002986182699257,0.025749762683216,0.000039089148653,0.000197728321287,0.001269113381072,0.001480251848246,0.004425633465333,0.018398149513996,0.002925979703887,137,693,4448,5188,15511,64482,10255,100714,10466,90248,41.5834,-72.7622
New England,Connecticut,2007,3502309,0.027717428702036,0.003011441880200,0.024705986821837,0.000032264428981,0.000197012884928,0.001228618034559,0.001553546531731,0.004465625391706,0.017399092998362,0.002841268431769,113,690,4303,5441,15640,60937,9951,97075,10547,86528,41.5834,-72.7622
