Airline,Carrier Code,Flight Number,Tail Number,Flight ID,Event,Airport,Time,Original Time,Longitude,Latitude
American,AA,1054,N4YCAA,AA1054STLORD,Arrive,ORD,18:40,1844,-87.90444444,41.97944444
American,AA,1054,N4YCAA,AA1054STLORD,Depart,STL,17:25,1728,-90.35972222,38.7475
American,AA,1055,N470AA,AA1055DENLAX,Arrive,LAX,8:20,821,-118.4080556,33.9425
American,AA,1055,N470AA,AA1055DENLAX,Depart,DEN,6:20,623,-104.6669444,39.85833333
American,AA,1056,N405AA,AA1056ORDBOS,Arrive,BOS,14:50,1454,-71.005,42.36416667
American,AA,1056,N405AA,AA1056ORDBOS,Depart,ORD,11:40,1144,-87.90444444,41.97944444
American,AA,1057,N3BAAA,AA1057DFWRNO,Arrive,RNO,19:15,1915,-119.7680556,39.49833333
American,AA,1057,N3BAAA,AA1057DFWRNO,Depart,DFW,17:50,1752,-97.0375,32.89638889
American,AA,1058,N598AA,AA1058DFWBHM,Arrive,BHM,21:50,2154,-86.75333333,33.56277778
American,AA,1058,N598AA,AA1058DFWBHM,Depart,DFW,20:15,2017,-97.0375,32.89638889
American,AA,1059,N550AA,AA1059LASLAX,Arrive,LAX,13:05,1307,-118.4080556,33.9425
American,AA,1059,N550AA,AA1059LASLAX,Depart,LAS,11:55,1157,-115.1522222,36.08027778
American,AA,1060,N078AA,AA1060SJUBOS,Arrive,BOS,18:35,1839,-71.005,42.36416667
American,AA,1060,N078AA,AA1060SJUBOS,Depart,SJU,15:30,1530,-66.00166667,18.43916667
American,AA,1061,N462AA,AA1061ORDTUS,Arrive,TUS,15:20,1521,-110.9413889,32.11611111
American,AA,1061,N462AA,AA1061ORDTUS,Depart,ORD,12:20,1222,-87.90444444,41.97944444
American,AA,1062,N578AA,AA1062DFWJAX,Arrive,JAX,9:45,946,-81.68777778,30.49388889
American,AA,1062,N578AA,AA1062DFWJAX,Depart,DFW,6:40,644,-97.0375,32.89638889
American,AA,1063,N450AA,AA1063MSPDFW,Arrive,DFW,8:55,858,-97.0375,32.89638889
American,AA,1063,N450AA,AA1063MSPDFW,Depart,MSP,6:35,638,-93.21666667,44.88027778
